Characters	Feature	JGsoft	.NET	Java	Perl	PCRE	ECMA	Python	Ruby	Tcl ARE	POSIX BRE	POSIX ERE	GNU BRE	GNU ERE	XML	XPath
Unicode Properties, Scripts and Blocks	\p{L} through \p{C} (Unicode properties)	YES	YES	YES	YES	option	no	no	no	no	no	no	no	no	YES	YES
Unicode Properties, Scripts and Blocks	\p{Lu} through \p{Cn} (Unicode property)	YES	YES	YES	YES	option	no	no	no	no	no	no	no	no	YES	YES
Unicode Properties, Scripts and Blocks	\p{L&amp;} and \p{Letter&amp;} (equivalent of [\p{Lu}\p{Ll}\p{Lt}] Unicode properties)	YES	no	no	YES	option	no	no	no	no	no	no	no	no	no	no
Unicode Properties, Scripts and Blocks	\p{IsL} through \p{IsC} (Unicode properties)	YES	no	YES	YES	no	no	no	no	no	no	no	no	no	no	no
Unicode Properties, Scripts and Blocks	\p{IsLu} through \p{IsCn} (Unicode property)	YES	no	YES	YES	no	no	no	no	no	no	no	no	no	no	no
Unicode Properties, Scripts and Blocks	\p{Letter} through \p{Other} (Unicode properties)	YES	no	no	YES	no	no	no	no	no	no	no	no	no	no	no
Unicode Properties, Scripts and Blocks	\p{Lowercase_Letter} through \p{Not_Assigned} (Unicode property)	YES	no	no	YES	no	no	no	no	no	no	no	no	no	no	no
Unicode Properties, Scripts and Blocks	\p{IsLetter} through \p{IsOther} (Unicode properties)	YES	no	no	YES	no	no	no	no	no	no	no	no	no	no	no
Unicode Properties, Scripts and Blocks	\p{IsLowercase_Letter} through \p{IsNot_Assigned} (Unicode property)	YES	no	no	YES	no	no	no	no	no	no	no	no	no	no	no
Unicode Properties, Scripts and Blocks	\p{Arabic} through \p{Yi} (Unicode script)	YES	no	no	YES	option	no	no	no	no	no	no	no	no	no	no
Unicode Properties, Scripts and Blocks	\p{IsArabic} through \p{IsYi} (Unicode script)	YES	no	no	YES	no	no	no	no	no	no	no	no	no	no	no
Unicode Properties, Scripts and Blocks	\p{BasicLatin} through \p{Specials} (Unicode block)	YES	no	no	YES	no	no	no	no	no	no	no	no	no	no	no
Unicode Properties, Scripts and Blocks	\p{InBasicLatin} through \p{InSpecials} (Unicode block)	YES	no	YES	YES	no	no	no	no	no	no	no	no	no	no	no
Unicode Properties, Scripts and Blocks	\p{IsBasicLatin} through \p{IsSpecials} (Unicode block)	YES	YES	no	YES	no	no	no	no	no	no	no	no	no	YES	YES
Unicode Properties, Scripts and Blocks	Part between {} in all of the above is case insensitive	YES	no	no	YES	no	no	no	no	no	no	no	no	no	no	no
Unicode Properties, Scripts and Blocks	Spaces, hyphens and underscores allowed in all long names listed above (e.g. BasicLatin can be written as Basic-Latin or Basic_Latin or Basic Latin)	YES	no	Java 5	YES	no	no	no	no	no	no	no	no	no	no	no
Unicode Properties, Scripts and Blocks	\P (negated variants of all \p as listed above)	YES	YES	YES	YES	option	no	no	no	no	no	no	no	no	YES	YES
Unicode Properties, Scripts and Blocks	\p{^...} (negated variants of all \p{...} as listed above)	YES	no	no	YES	option	no	no	no	no	no	no	no	no	no	no
Named Capture and Backreferences	Feature	JGsoft	.NET	Java	Perl	PCRE	ECMA	Python	Ruby	Tcl ARE	POSIX BRE	POSIX ERE	GNU BRE	GNU ERE	XML	XPath
Named Capture and Backreferences	(?&lt;name&gt;regex) (.NET-style named capturing group)	YES	YES	no	no	no	no	no	no	no	no	no	no	no	no	no
Named Capture and Backreferences	(?'name'regex) (.NET-style named capturing group)	YES	YES	no	no	no	no	no	no	no	no	no	no	no	no	no
Named Capture and Backreferences	\k&lt;name&gt; (.NET-style named backreference)	YES	YES	no	no	no	no	no	no	no	no	no	no	no	no	no
Named Capture and Backreferences	\k'name' (.NET-style named backreference)	YES	YES	no	no	no	no	no	no	no	no	no	no	no	no	no
Named Capture and Backreferences	(?P&lt;name&gt;regex) (Python-style named capturing group	YES	no	no	no	YES	no	YES	no	no	no	no	no	no	no	no
Named Capture and Backreferences	(?P=name) (Python-style named backreference)	YES	no	no	no	YES	no	YES	no	no	no	no	no	no	no	no
Named Capture and Backreferences	multiple capturing groups can have the same name	YES	YES	n/a	n/a	no	n/a	no	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
XML Character Classes	Feature	JGsoft	.NET	Java	Perl	PCRE	ECMA	Python	Ruby	Tcl ARE	POSIX BRE	POSIX ERE	GNU BRE	GNU ERE	XML	XPath
XML Character Classes	\i, \I, \c and \C shorthand XML name character classes	no	no	no	no	no	no	no	no	no	no	no	no	no	YES	YES
XML Character Classes	[abc-[abc]] character class subtraction	YES	2.0	no	no	no	no	no	no	no	no	no	no	no	YES	YES
POSIX Bracket Expressions	Feature	JGsoft	.NET	Java	Perl	PCRE	ECMA	Python	Ruby	Tcl ARE	POSIX BRE	POSIX ERE	GNU BRE	GNU ERE	XML	XPath
POSIX Bracket Expressions	[:alpha:] POSIX character class	YES	no	no	YES	ascii	no	no	YES	YES	YES	YES	YES	YES	no	no
POSIX Bracket Expressions	\p{Alpha} POSIX character class	YES	no	ascii	no	no	no	no	no	no	no	no	no	no	no	no
POSIX Bracket Expressions	\p{IsAlpha} POSIX character class	YES	no	no	YES	no	no	no	no	no	no	no	no	no	no	no
POSIX Bracket Expressions	[.span-ll.] POSIX collation sequence	no	no	no	no	no	no	no	no	YES	YES	YES	YES	YES	no	no
POSIX Bracket Expressions	[=x=] POSIX character equivalence	no	no	no	no	no	no	no	no	YES	YES	YES	YES	YES	no	no
